,Zip,Best Season,2nd Best Season,3rd Best Season,4th Best Season,Off Season,Best color,ZObjects,Lat,Lon,Closest Station,Best Precip,Best Temp,Ranking
Great Basin NP,89311,7,8,6,9,1,green,<Zip: 89311>,38.9,-114.2,USC00263340,11,2,43.0
Great Sand Dunes NP & PRES,81146,7,6,8,5,1,green,<Zip: 81146>,37.65,-105.88,USC00050128,1,7,42.0
Great Smoky Mountains NP,37738,7,6,10,8,1,green,<Zip: 37738>,35.72,-83.49,USC00403420,10,5,33.0
Guadalupe Mountains NP,79847,3,10,4,5,1,orange,<Zip: 79847>,31.74,-105.08,USC00417920,3,8,53.0
Haleakala NP,96790,7,8,6,5,11,green,<Zip: 96790>,20.72,-156.34,USC00515004,8,12,37.0
Hawaii Volcanoes NP,96718,8,7,6,2,4,teal,<Zip: 96718>,19.43,-155.26,USC00511303,6,8,26.0
Hot Springs NP,71901,6,7,8,9,1,greenyellow,<Zip: 71901>,34.5,-93.05,USC00033466,8,5,54.0
Isle Royale NP,49931,8,7,6,9,11,teal,,47.11,-88.57,USW00014858,2,9,22.0
Joshua Tree NP,92277,3,4,11,2,7,orange,<Zip: 92277>,34.24,-115.86,USC00049102,0,0,36.0
Katmai NP & PRES,99613,7,8,6,9,11,green,<Zip: 99613>,58.75,-156.54,USW00025503,3,9,31.0
Kenai Fjords NP,99664,7,8,6,9,1,green,<Zip: 99664>,60.05,-149.33,USW00026438,6,11,39.0
Kings Canyon NP,93271,7,8,6,9,12,green,<Zip: 93271>,36.44,-118.86,USC00048917,8,1,11.0
Kobuk Valley NP,99752,9,8,7,11,2,blue,<Zip: 99752>,67.24,-161.19,USW00026616,5,8,56.0
Lake Clark NP & PRES,99640,8,7,9,6,1,teal,<Zip: 99640>,59.96,-154.87,USW00025506,3,9,52.0
Lassen Volcanic NP,96063,7,8,9,6,2,green,<Zip: 96063>,40.38,-121.57,USC00045679,7,11,47.0
Mammoth Cave NP,42259,7,8,6,5,2,green,<Zip: 42259>,37.2,-86.1,USC00155097,1,5,32.0
Mesa Verde NP,81328,7,6,8,9,1,green,<Zip: 81328>,37.34,-108.29,USC00055327,6,9,45.0
Mount Rainier NP,98304,8,7,9,6,2,teal,<Zip: 98304>,46.77,-122.0,USC00454764,8,3,23.0
National Park of American Samoa,96799,9,7,4,11,8,blue,<Zip: 96799>,-14.27,-170.7,AQW00061705,6,7,18.0
North Cascades NP,98283,8,7,9,6,1,teal,<Zip: 98283>,48.56,-121.54,USW00004223,7,3,14.0
Olympic NP,98362,8,7,9,6,1,teal,<Zip: 98362>,47.99,-123.25,USC00457544,7,11,6.0
Petrified Forest NP,86028,7,6,8,5,1,green,<Zip: 86028>,34.79,-109.87,USC00026468,6,7,51.0
Pinnacles NP,95043,4,5,3,8,1,gold,<Zip: 95043>,36.53,-120.96,USC00046675,7,1,58.0
Redwood NP,95570,7,8,6,9,2,green,<Zip: 95570>,41.13,-124.04,USW00024283,7,11,19.0
Rocky Mountain NP,80517,7,8,6,9,2,green,<Zip: 80517>,40.37,-105.52,USC00052761,12,5,28.0
Saguaro NP,85743,3,2,4,1,9,orange,<Zip: 85743>,32.3,-111.16,USC00028795,6,8,41.0
Sequoia NP,93271,8,7,6,9,2,teal,<Zip: 93271>,36.44,-118.86,USC00048917,8,1,3.0
Shenandoah NP,22827,10,7,8,6,1,slateblue,,38.4,-78.62,USC00440720,2,9,34.0
Theodore Roosevelt Birthplace NHS,10003,10,3,4,5,9,slateblue,<Zip: 10003>,40.71,-73.99,USW00094728,2,7,48.0
Virgin Islands NP,830,3,4,2,1,9,orange,<Zip: 00830>,18.33,-64.79,VQC00671980,3,11,24.0
Voyageurs NP,56649,7,8,6,5,4,green,<Zip: 56649>,48.58,-93.4,USW00014918,2,6,44.0
Wind Cave NP,57738,7,8,6,9,2,green,<Zip: 57738>,43.68,-103.2,USC00393775,1,5,55.0
Wrangell-St Elias NP & PRES,99573,7,8,6,9,1,green,<Zip: 99573>,61.68,-145.14,USC00509385,4,7,21.0
Yellowstone NP,82190,7,8,6,9,11,green,<Zip: 82190>,44.57,-110.51,USW00094173,3,5,1.0
Yosemite NP,95389,8,7,6,9,1,teal,<Zip: 95389>,37.69,-119.59,USC00049855,8,2,9.0
Zion NP,84737,7,8,6,9,1,green,<Zip: 84737>,37.13,-112.97,USC00429717,6,3,4.0
